gamma_index,gamma_value,error
9587,9512.41083881,0.06602660266071325
9588,9512.53669638,0.191879187919767
9589,9512.59591826,0.14071407140727388
9590,9512.78100148,0.16351635163664469
9591,9512.82763512,0.17923792379224324
9592,9512.92288865,0.09010901090186962
9593,9513.1352458,0.18087808780910564
9594,9513.23773601,0.18999899990012636
9595,9513.43298372,0.020542054206089233
9596,9513.56243357,0.10891089108918095
9597,9513.61195117,0.15843584358481166
9598,9513.78693909,0.1464346434640902
9599,9513.88177183,0.19539953995445103
9600,9514.05248498,0.1433543354341964
9601,9514.16114454,0.04190419041879068
9602,9514.22598838,0.10675067506781488
9603,9514.35323667,0.18183818381839956
9604,9514.48802108,0.1230723072312685
9605,9514.69847332,0.1877987798779941
9606,9514.83167779,0.17843784378419514
9607,9514.97802202,0.03210321032202046
9608,9515.13832933,0.12819281928204873
9609,9515.40345626,0.09814981498129782
9610,9515.46628251,0.035343534353160067
9611,9515.60054057,0.09894989498934592
9612,9515.77911954,0.1084708470843907
9613,9515.865964,0.021622162215862772
9614,9516.03981715,0.1522352235224389
9615,9516.21703778,0.12183218321843015
9616,9516.35201735,0.1523552355247375
9617,9516.37722696,0.17755775577643362
9618,9516.53078901,0.18239823982548842
9619,9516.6963301,0.03386338633936248
9620,9516.78152742,0.119071907191028
9621,9516.8661879,0.17611761176158325
9622,9517.09916418,0.12751275127629924
9623,9517.17011032,0.05658565856538189
9624,9517.34938153,0.12271227122801065
9625,9517.48098934,0.1910791079117189
9626,9517.64997721,0.16823682368340087
9627,9517.73558768,0.17475747574826528
9628,9517.90192815,0.17631763176359527
9629,9518.0342585,0.00342034203458752
9630,9518.10130975,0.070467046705744
9631,9518.13488557,0.10403040304117894
9632,9518.39222926,0.03362336233658425
9633,9518.55925969,0.13339333933436137
9634,9518.6703735,0.15187518751918105
9635,9518.81396263,0.07082708270900184
9636,9518.91002803,0.16691669166903012
9637,9519.04416804,0.17919791979329602
9638,9519.11325616,0.154595459545817
9639,9519.2876202,0.12023202320233395
9640,9519.39169334,0.01614161416182469
9641,9519.47385913,0.06602660266071325
9642,9519.7168177,0.16883688368943695
